,date,time,latitude,longitude,deepness,md,ml,mw,place
7,2024.02.15,11:56:38,40.3062 ,27.0120,9.3 ,0.0,2.5,0.0,DISBUDAK-LAPSEKI (CANAKKALE)
8,2024.02.15,11:43:09,37.4823 ,37.1412,4.7 ,0.0,2.3,0.0,DOGANLIKARAHASAN-PAZARCIK (KAHRAMANMARAS)
9,2024.02.15,11:08:41,39.1977 ,27.7535,5.0 ,0.0,1.5,0.0,BAYAT-SOMA (MANISA)
10,2024.02.15,10:46:25,37.9795 ,27.1510,4.5 ,0.0,1.7,0.0,KUSADASI KORFEZI (EGE DENIZI)
11,2024.02.15,10:41:07,38.5513 ,39.3138,5.0 ,0.0,1.5,0.0,IKITEPE-(ELAZIG)
12,2024.02.15,10:37:49,37.1768 ,36.0607,0.4 ,0.0,2.9,0.0,GUNLUCE-CEYHAN (ADANA)
13,2024.02.15,10:28:34,40.5080 ,27.5415,3.5 ,0.0,1.8,0.0,AVSA-MARMARA (BALIKESIR)
14,2024.02.15,10:03:51,39.5913 ,26.0462,7.8 ,0.0,2.4,0.0,TAVAKLI ACIKLARI-CANAKKALE (EGE DENIZI)
15,2024.02.15,09:45:35,37.9580 ,36.3087,2.5 ,0.0,2.3,0.0,KAZANDERE-GOKSUN (KAHRAMANMARAS)
16,2024.02.15,09:43:49,38.2237 ,38.0235,7.8 ,0.0,2.3,0.0,CUMHURIYET-YESILYURT (MALATYA)
17,2024.02.15,09:38:18,38.7922 ,37.4163,5.0 ,0.0,1.6,0.0,YUVA-GURUN (SIVAS)
18,2024.02.15,09:24:59,38.5928 ,37.2655,2.5 ,0.0,1.2,0.0,HORHOR-ELBISTAN (KAHRAMANMARAS)
19,2024.02.15,09:07:35,38.0912 ,36.7750,5.8 ,0.0,1.8,0.0,KORKMAZ-GOKSUN (KAHRAMANMARAS)
20,2024.02.15,08:23:14,38.5097 ,37.3120,7.2 ,0.0,1.5,0.0,YENIKOY-DARENDE (MALATYA)
21,2024.02.15,08:18:52,37.8877 ,26.9408,3.9 ,0.0,2.0,0.0,KUSADASI KORFEZI (EGE DENIZI)
22,2024.02.15,08:14:52,38.6275 ,36.1248,5.2 ,0.0,1.4,0.0,SACLI-PINARBASI (KAYSERI)
23,2024.02.15,08:06:02,40.2138 ,31.7608,1.4 ,0.0,2.1,0.0,HIRKATEPE-BEYPAZARI (ANKARA)
24,2024.02.15,07:37:40,39.2408 ,27.7583,9.4 ,0.0,1.6,0.0,TEKELI ISIKLAR-SOMA (MANISA)
25,2024.02.15,07:33:05,38.1445 ,36.9208,1.3 ,0.0,2.2,0.0,SOGUCAK-AFSIN (KAHRAMANMARAS)
26,2024.02.15,07:30:35,38.1170 ,36.9970,5.5 ,0.0,1.6,0.0,CALIS-ELBISTAN (KAHRAMANMARAS)
27,2024.02.15,07:02:37,37.9705 ,37.4035,5.7 ,0.0,2.3,0.0,NURHAK (KAHRAMANMARAS)
28,2024.02.15,06:59:44,40.7612 ,30.8865,2.9 ,0.0,1.2,0.0,MUHAPDEDE-GOLYAKA (DUZCE)
29,2024.02.15,06:57:04,34.9825 ,31.8437,7.1 ,0.0,2.7,0.0,AKDENIZ
30,2024.02.15,06:44:30,37.1395 ,28.6152,3.6 ,0.0,1.1,0.0,ARICILAR-ULA (MUGLA)
31,2024.02.15,06:27:01,37.8977 ,36.5145,6.7 ,0.0,1.5,0.0,DEGIRMENDERE-GOKSUN (KAHRAMANMARAS)
32,2024.02.15,06:08:23,37.9760 ,38.1747,6.9 ,0.0,1.8,0.0,KAVAK-(ADIYAMAN)
33,2024.02.15,05:55:59,37.9082 ,26.9552,5.0 ,0.0,1.6,0.0,KUSADASI KORFEZI (EGE DENIZI)
34,2024.02.15,05:33:09,40.7088 ,30.6462,3.4 ,0.0,1.5,0.0,YUVALIK-AKYAZI (SAKARYA)
35,2024.02.15,05:31:36,37.1453 ,28.6232,8.9 ,0.0,2.7,0.0,ARICILAR-ULA (MUGLA)
36,2024.02.15,05:16:13,37.1908 ,36.0468,9.4 ,0.0,1.4,0.0,GUNLUCE-CEYHAN (ADANA)
37,2024.02.15,05:13:28,37.0892 ,28.6027,8.8 ,0.0,1.2,0.0,BALCILAR-KOYCEGIZ (MUGLA)
38,2024.02.15,05:12:21,38.3123 ,38.2340,4.5 ,0.0,1.2,0.0,YAKINCA-YESILYURT (MALATYA)
39,2024.02.15,05:08:21,37.1222 ,28.6275,9.6 ,0.0,1.1,0.0,KAVAKCALI-ULA (MUGLA)
