,date,time,latitude,longitude,deepness,md,ml,mw,place
5,Tarih     ,Saat    ,Enlem(N),Boylam(,lik(,MD ,Mw ,ML ,Yer                                             Ç
6,----------,--------,--------,-------,----,---,-- ,---,--------------                                  -
7,2023.03.31,15:50:29,40.7930 ,30.9935,3.0 ,-.-,-.-,1.8,GOLYAKA (DUZCE)
8,2023.03.31,15:48:26,37.0735 ,28.3812,6.7 ,-.-,-.-,1.9,KIZILAGAC-ULA (MUGLA)
9,2023.03.31,15:16:39,37.9135 ,36.3660,7.2 ,-.-,-.-,1.7,BUYUKCAMURLU-GOKSUN (KAHRAMANMARAS)
10,2023.03.31,15:13:29,38.2818 ,38.1605,6.6 ,-.-,-.-,2.7,SEYITUSAGI-YESILYURT (MALATYA)
11,2023.03.31,15:06:20,38.3665 ,37.4872,1.3 ,-.-,-.-,1.7,YALINTAS-ELBISTAN (KAHRAMANMARAS)
12,2023.03.31,15:03:59,37.8475 ,26.9712,5.1 ,-.-,-.-,2.0,KUSADASI KORFEZI (EGE DENIZI)
13,2023.03.31,14:53:28,35.9817 ,35.8038,5.1 ,-.-,-.-,1.9,AKDENIZ
14,2023.03.31,14:48:51,37.8897 ,36.1935,3.2 ,-.-,-.-,1.6,KARAKUYU-SAIMBEYLI (ADANA)
15,2023.03.31,14:43:16,38.0482 ,38.1555,4.7 ,-.-,-.-,2.4,PINARBASI-CELIKHAN (ADIYAMAN)
16,2023.03.31,14:31:11,36.6678 ,36.3787,9.8 ,-.-,-.-,2.3,BEKTASLI-KIRIKHAN (HATAY)
17,2023.03.31,14:23:44,38.4143 ,37.3175,5.0 ,-.-,-.-,2.5,GOKCEK-ELBISTAN (KAHRAMANMARAS)
18,2023.03.31,14:12:27,37.2942 ,36.6795,5.4 ,-.-,-.-,1.9,KALEDIBI-TURKOGLU (KAHRAMANMARAS)
19,2023.03.31,13:56:56,36.9908 ,36.5998,0.2 ,-.-,-.-,4.6,DEGIRMENCIK-ISLAHIYE (GAZIANTEP)
20,2023.03.31,13:47:05,37.5550 ,37.2165,5.6 ,-.-,-.-,2.5,KUZUCAK-(KAHRAMANMARAS)
21,2023.03.31,13:33:43,38.4092 ,40.3678,8.2 ,-.-,-.-,2.3,BELEN-HANI (DIYARBAKIR)
22,2023.03.31,13:31:37,38.0537 ,36.6297,7.2 ,-.-,-.-,1.7,GUCUKSU-GOKSUN (KAHRAMANMARAS)
23,2023.03.31,13:30:41,37.8642 ,36.3468,4.9 ,-.-,-.-,1.5,KUCUKCAMURLU-GOKSUN (KAHRAMANMARAS)
24,2023.03.31,13:29:16,37.8512 ,36.3527,5.8 ,-.-,-.-,2.2,KUCUKCAMURLU-GOKSUN (KAHRAMANMARAS)
25,2023.03.31,13:19:28,38.4263 ,37.2240,5.0 ,-.-,-.-,2.6,SARIYATAK-ELBISTAN (KAHRAMANMARAS)
26,2023.03.31,13:15:11,40.1868 ,30.5875,5.0 ,-.-,-.-,2.2,DANISMENT-YENIPAZAR (BILECIK)
27,2023.03.31,13:13:47,40.2410 ,30.7838,5.0 ,-.-,-.-,1.9,HIMMETOGLU-GOYNUK (BOLU)
28,2023.03.31,13:08:26,37.9263 ,36.3872,3.3 ,-.-,-.-,1.3,YOGUNOLUK-GOKSUN (KAHRAMANMARAS)
29,2023.03.31,13:06:12,37.9612 ,36.3120,2.3 ,-.-,-.-,2.0,KAZANDERE-GOKSUN (KAHRAMANMARAS)
30,2023.03.31,13:04:40,37.7935 ,36.4535,1.5 ,-.-,-.-,1.8,GEBEN-ANDIRIN (KAHRAMANMARAS)
31,2023.03.31,13:02:37,38.1143 ,36.7748,6.2 ,-.-,-.-,2.2,KORKMAZ-GOKSUN (KAHRAMANMARAS)
32,2023.03.31,12:54:37,37.8495 ,36.6202,8.3 ,-.-,-.-,2.1,CEVREPINAR-(KAHRAMANMARAS)
33,2023.03.31,12:48:50,39.4360 ,33.4902,7.6 ,-.-,-.-,1.5,TATIK-KAMAN (KIRSEHIR)
34,2023.03.31,12:43:57,37.8935 ,36.2425,7.8 ,-.-,-.-,2.2,TOPALLAR-SAIMBEYLI (ADANA)
35,2023.03.31,12:35:10,37.8665 ,36.3440,8.9 ,-.-,-.-,2.9,KUCUKCAMURLU-GOKSUN (KAHRAMANMARAS)
36,2023.03.31,12:28:01,38.1700 ,36.9950,5.0 ,-.-,-.-,2.8,ALTAS-AFSIN (KAHRAMANMARAS)
37,2023.03.31,12:18:56,38.2647 ,36.9440,1.1 ,-.-,-.-,1.8,AFSIN (KAHRAMANMARAS)
38,2023.03.31,12:15:36,37.9942 ,36.5700,0.1 ,-.-,-.-,1.9,ASLANBEYCIFTLIGI-GOKSUN (KAHRAMANMARAS)
39,2023.03.31,12:14:42,38.5048 ,38.1203,9.0 ,-.-,-.-,2.3,TOHMA-(MALATYA)
40,2023.03.31,12:03:21,36.2388 ,33.7983,4.7 ,-.-,-.-,1.2,AKDERE-SILIFKE (MERSIN)
41,2023.03.31,11:56:43,38.1068 ,37.8240,0.7 ,-.-,-.-,1.7,TOPRAKTEPE-DOGANSEHIR (MALATYA)
42,2023.03.31,11:51:55,38.0263 ,36.0418,9.4 ,-.-,-.-,1.5,GOKMENLER-SAIMBEYLI (ADANA)
43,2023.03.31,11:21:58,37.9430 ,37.1792,5.3 ,-.-,-.-,1.7,CIFTLIKKOY-EKINOZU (KAHRAMANMARAS)
44,2023.03.31,11:19:35,37.9462 ,36.2510,6.7 ,-.-,-.-,1.3,KALEBOYNU-GOKSUN (KAHRAMANMARAS)
45,2023.03.31,11:07:21,37.8032 ,36.2908,3.8 ,-.-,-.-,1.8,CIGSAR-ANDIRIN (KAHRAMANMARAS)
46,2023.03.31,11:01:28,37.8705 ,36.2577,5.3 ,-.-,-.-,1.5,TOPALLAR-SAIMBEYLI (ADANA)
47,2023.03.31,10:35:38,37.9345 ,36.2917,3.3 ,-.-,-.-,2.3,HACIKODAL-GOKSUN (KAHRAMANMARAS)
48,2023.03.31,10:24:12,37.7017 ,36.5727,6.1 ,-.-,-.-,1.5,CINARPINAR-(KAHRAMANMARAS)
49,2023.03.31,10:22:36,38.0193 ,37.6347,9.1 ,-.-,-.-,1.9,GOVDELI-DOGANSEHIR (MALATYA)
50,2023.03.31,10:20:45,37.8987 ,36.7038,8.4 ,-.-,-.-,2.2,SAHINKAYASI-(KAHRAMANMARAS)
51,2023.03.31,10:19:02,38.2935 ,38.6892,5.0 ,-.-,-.-,2.2,KAMISTAS-(MALATYA)
52,2023.03.31,10:17:37,38.1095 ,36.2337,5.0 ,-.-,-.-,2.5,BEYPINARI-SAIMBEYLI (ADANA)
53,2023.03.31,10:11:18,37.2973 ,37.1745,3.0 ,-.-,-.-,2.4,KARABIYIKLI-PAZARCIK (KAHRAMANMARAS)
54,2023.03.31,10:08:20,37.9452 ,36.3165,2.9 ,-.-,-.-,1.5,HACIKODAL-GOKSUN (KAHRAMANMARAS)
