,latitude,longitude,mw
0,Enlem(N),Boylam(,ML 
1,--------,-------,---
2,37.1537 ,36.9037,1.8
3,38.2043 ,38.4283,2.3
4,38.2658 ,38.7108,1.5
5,38.8088 ,37.1425,1.8
6,38.4937 ,36.6055,1.8
7,39.9532 ,40.5517,2.4
8,38.5928 ,37.5437,1.4
9,38.4698 ,37.3903,1.3
10,37.9915 ,36.3740,2.3
11,38.8533 ,40.9957,3.1
12,38.4388 ,37.3485,1.8
13,39.6477 ,24.7508,2.3
14,36.1383 ,28.1508,2.0
15,38.2720 ,38.8235,1.9
16,35.6815 ,25.5185,2.6
17,37.3852 ,36.9010,1.6
18,38.0255 ,36.5342,1.7
19,36.8192 ,27.9747,1.7
20,38.3585 ,27.1795,2.2
21,37.4510 ,34.2415,2.3
22,38.3817 ,37.3645,1.5
23,37.9907 ,37.6172,1.5
24,38.1755 ,36.7698,1.5
25,38.2238 ,37.9343,1.5
26,37.3835 ,37.1007,2.5
27,36.5730 ,28.4037,2.5
28,37.0937 ,28.4625,2.0
29,38.5062 ,37.2917,1.9
30,38.0182 ,38.1287,2.2
31,37.7910 ,36.2188,1.1
32,37.9593 ,27.1123,1.7
33,38.8192 ,37.4093,3.2
34,38.0085 ,36.7810,1.7
35,37.9998 ,37.5418,2.3
36,38.0013 ,36.3525,1.9
37,38.3277 ,25.3123,2.0
38,38.0508 ,37.0157,1.6
39,35.1008 ,23.3610,2.5
40,38.1037 ,38.4190,2.2
41,38.3527 ,38.1985,2.6
42,37.9642 ,27.1230,2.2
43,38.4598 ,37.7242,1.6
44,38.4068 ,37.4848,1.4
45,37.3155 ,36.7173,2.6
46,38.3182 ,39.4710,2.5
47,36.3570 ,27.8163,4.3
48,37.9837 ,36.4583,1.2
49,37.7388 ,37.5407,1.6
50,39.2608 ,41.5617,2.8
51,38.0355 ,36.4577,1.6
52,37.8240 ,36.4533,1.6
53,38.4748 ,40.6015,1.3
54,38.5817 ,37.3412,1.8
55,37.8915 ,36.3313,1.8
56,38.0027 ,36.4110,2.3
57,38.3348 ,38.7042,1.4
58,37.4278 ,37.0795,1.6
59,40.8303 ,33.5577,2.3
60,38.3275 ,38.7332,2.9
61,37.0022 ,29.2720,1.4
62,37.7117 ,35.9232,2.6
63,39.0545 ,40.5102,1.3
64,36.8357 ,36.5387,3.0
65,39.3078 ,33.2752,1.6
66,38.3097 ,38.7413,1.7
67,38.1500 ,36.6547,1.4
68,38.4947 ,37.2850,2.1
69,37.0587 ,36.1498,1.6
70,38.6505 ,39.7463,2.6
71,38.3073 ,37.7942,1.5
72,38.3533 ,37.1983,1.1
73,36.9625 ,29.3127,2.3
74,38.3753 ,37.4818,1.5
75,38.4355 ,37.5633,1.2
76,38.7508 ,26.0368,2.0
77,38.7527 ,37.9702,1.6
78,38.1930 ,38.1342,1.4
79,38.3168 ,37.8303,1.8
80,38.0617 ,37.5097,2.2
81,38.2117 ,36.9758,2.2
82,39.0323 ,29.8722,2.3
83,40.7210 ,29.2490,1.8
84,38.0987 ,36.5053,1.7
85,38.4100 ,37.2220,2.7
86,38.0055 ,36.3625,2.0
87,38.0395 ,36.5078,2.4
88,38.0030 ,36.3840,3.4
89,37.9822 ,27.1660,2.6
90,37.0908 ,28.0368,1.9
91,37.0232 ,36.3940,2.3
92,35.8405 ,35.9933,3.4
93,38.0155 ,37.5132,4.0
94,36.1912 ,36.0923,1.7
95,38.1247 ,38.4820,3.8
96,38.1355 ,36.5813,2.4
97,36.1597 ,28.1333,2.3
98,37.9850 ,27.1475,1.7
99,36.7587 ,27.5635,2.6
100,36.2440 ,36.3088,2.1
101,35.8033 ,35.4795,1.9
102,38.3848 ,37.5503,1.4
103,38.4995 ,36.6943,1.6
104,36.3867 ,36.2185,1.8
105,38.2548 ,38.1922,2.4
106,38.2950 ,38.6535,1.9
107,37.0813 ,28.4108,1.8
108,37.0067 ,28.1972,2.6
109,37.0722 ,28.4385,1.7
110,37.0942 ,28.4822,1.8
111,37.8918 ,36.0237,1.5
112,37.8445 ,36.0867,2.0
113,37.9458 ,36.3238,2.0
114,36.0267 ,36.4645,1.6
115,39.6572 ,26.5027,1.2
116,37.9090 ,36.2740,1.4
117,37.0492 ,28.3470,1.2
118,37.9755 ,36.3485,1.4
119,38.3097 ,37.2520,1.6
120,36.6878 ,36.2087,1.1
121,36.1432 ,35.8528,1.3
122,37.0717 ,28.4487,1.0
123,38.1165 ,36.3818,1.1
124,38.4465 ,37.3898,1.7
125,38.7835 ,37.7192,1.9
126,38.4828 ,37.3250,1.0
127,38.0693 ,37.6288,1.3
128,38.3757 ,38.2147,1.3
129,38.1265 ,38.4500,2.2
130,36.4657 ,29.1753,1.5
131,38.4535 ,37.5918,1.4
132,36.0590 ,27.1972,2.0
133,37.3028 ,37.0150,1.0
134,39.5440 ,28.7000,2.2
135,38.4615 ,37.3202,1.7
136,38.1307 ,38.4810,2.6
137,38.2972 ,38.2283,2.2
138,38.4283 ,37.3837,1.6
139,39.3102 ,24.8170,1.7
140,38.4985 ,39.1682,2.3
141,35.9635 ,36.0793,2.3
142,36.0360 ,36.0595,2.8
143,35.1102 ,23.7590,1.6
144,37.5695 ,36.0530,3.2
145,38.9365 ,29.9272,1.8
146,37.9897 ,27.0922,1.5
147,38.1048 ,36.4458,1.7
148,36.9947 ,28.4890,1.0
149,38.9377 ,24.1045,2.4
